cnpj;codCVM;codB3
14069202000102;318851;ARFI11B
14074706000102;464961;BZLI11
14080689000116;361968;PLRI11
14110585000107;02523;CASH3
14120533000111;xbov;XBOV11
14127813000151;02588;NINJ3
14217108000145;362468;FIIB11
14286825000129;361836;RBPD13
14286825000129;361852;RBPD12
14286825000129;361844;RBPD11
14298826000193;305057;KNDI11
14376247000111;311022;BMLC11
14388334000199;02072;PRBC4
14410722000129;311189;BBPO11
14423780000197;362492;KNRE11
14455699000199;312088;RSBU11B
14521194000185;utip;UTIP11
14631148000139;310271;ATCR11
14721889000100;321397;VPSI11
14733211000148;362549;HMOC11
14776142000150;02551;WEST3
14785152000151;02540;HBRE3
14793782000178;304212;NEWU11
14807945000124;01269;SNSY5
14879856000193;311200;JRDM11
15006267000163;361976;VVCO11
15006267000163;361976;VVCO12
15006286000190;361984;RNGO11
15073274000188;08015;PPLA11
15073274000188;08015;BBTG11
15082688000173;01451;ASTA4
15101405000193;00486;CORR4
15105588000115;00919;ODBE4
15115504000124;01139;CRPG5
15124464000187;00124;BCE4
15139629000194;01452;CEEB3
15141799000103;00306;FESA4
15144017000190;00311;CSAB4
15144306000199;01066;SIBR7
15296696000112;361992;VLOL11
15333306000137;318825;EDGA11
15394563000189;302244;RNDP11
15413826000150;00557;ENER6
15461076000191;362433;BRHT11B
15463423000115;02329;MLPP3
15527906000136;02284;BSEV3
15538445000105;330507;SPTW11
15562377000101;ecoo;ECOO11
15570431000160;362778;BNFS11
15576907000170;362050;RBVA11
15592630000170;335789;URBN11
15769670000144;362263;RBVO11
15799397000109;324116;CEOC11
16233389000155;02554;LLBI3
16404287000155;01398;SUZB3
16543270000189;356409;FISD11
16590234000176;02234;ARZZ3
16614075000100;02135;DIRR3
16670085000155;01973;RENT3
16670085000155;01973;RENT1
16671412000193;362001;SDIL11
16676520000159;02569;MATD3
16706958000132;362506;KNCR11
16802320000103;362018;XPCM11
16811931000100;02527;AVLL3
16841067000199;380660;REIT11
16875388000104;335754;FOFT11
16915840000114;362204;SAAG11
16915868000151;351660;RBBV11
16915968000188;335770;MFII11
16915968000188;335770;MFII12
16921603000166;00170;BIOB4
16922038000151;02525;ENJU3
16929519000199;372226;HRDF11
17002316000115;321427;BJRC11
17007443000107;362689;TSNC11
17007528000195;450200;GESE11B
17025970000144;362441;NVHO11
17036289000100;spxi;SPXI11
17098794000170;362875;CXRI11
17143998000186;362360;GRLV11
17144039000185;362379;CBOP11
17155730000164;00245;CMIG4
17156502000109;362794;PORD11
17157777000167;00135;BNAC4
17159005000164;00598;SJOS4
17161241000115;00881;MMAQ4
17161979000182;362581;FPNG11
