"razao_social";"setor";"ranking";"carteira";"score_ise_b3";"capital_humano";"governanca_corporativa_e_alta_gestao";"modelo_de_negocios_e_inovacao";"capital_social";"meio_ambiente";"cdp";"ano";"mudanca_do_clima_cdp_climate_change"
"MRV ENGENHARIA E PARTICIPACOES S.A.";"Consumo Cíclico/Construção Civil/Incorporações";45;"Sim";62,9728779159885;0,541409932659933;0,755350007811645;0,533556547619047;0,509965277777778;0,724090909090909;0,714;2021;NA
"NATURA &CO HOLDING S.A.";"Consumo Não Cíclico/Produtos de Uso Pessoal e de Limpeza/Produtos de Uso Pessoal";5;"Sim";80,8897878630675;0,716147018924542;0,860400360173178;0,859274143046553;0,851084939322595;0,852480810317182;0,714;2021;NA
"NEOENERGIA S.A.";"Utilidade Pública/Energia Elétrica (Distribuição)";14;"Sim";77;0,652379657850452;0,84705589000993;0,887593182932968;0,841439909297052;0,646922358149497;0,857;2021;NA
"NOTRE DAME INTERMEDICA PARTICIPACOES SA";"Saúde/Serv.Méd.Hospit.,Análises e Diagnósticos";66;"Não";46,7181116592077;0,335654461279461;0,563067103488299;0,462738095238095;0,627703373015873;0,390454545454545;0,571;2021;NA
"ODONTOPREV S.A.";"Saúde/Serv.Méd.Hospit.,Análises e Diagnósticos";57;"Não";54,7677544769311;0,501660353535354;0,628330677809844;0,645446428571429;0,596264172335601;0,771363636363636;0,143;2021;NA
"PETROBRAS DISTRIBUIDORA S/A";"Petróleo, Gás e Biocombustíveis/Exploração, Refino e Distribuição";28;"Sim";72,6643648571638;0,663268097643098;0,814742272622707;0,696746031746032;0,807260251322751;0,663845238095238;0,714;2021;NA
"POSITIVO TECNOLOGIA S.A.";"Tecnologia da Informação/Computadores e Equipamentos";72;"Não";33,5394017491164;0,450921717171717;0,368551206073851;0,219791666666667;0,488968253968254;0,707727272727273;0;2021;NA
"RAIA DROGASIL S.A.";"Saúde/Comércio e Distribuição/Medicamentos e Outros Produtos";35;"Sim";67,2934287121561;0,698800505050505;0,777090571214212;0,75577380952381;0,751031746031746;0,625909090909091;0,429;2021;NA
"RUMO S.A.";"Bens Industriais/Transporte/Transporte Ferroviário";30;"Sim";71,1199826185567;0,697643097643098;0,835827096447567;0,861190476190476;0,677976190476191;0,705151515151515;0,714;2021;NA
"SimPAR S.A.";"Financeiro e Outros/Holdings Diversificadas";43;"Sim";63,5325147519679;0,53468296655808;0,734231707068666;0,542640402563254;0,654666807402455;0,767620156174643;0,701075002935431;2021;NA
"SUL AMERICA S.A.";"Financeiro e Outros/Previdência e Seguros/Seguradoras";38;"Sim";65,3173190973941;0,627430555555556;0,662531015599403;0,775655496766608;0,710785714285714;0,713636363636364;0,429;2021;NA
"SUZANO S.A.";"Materiais Básicos/Madeira e Papel/Papel e Celulose";9;"Sim";78,7905640720276;0,689267676767677;0,827316252587992;0,882217261904762;0,656087018140589;0,815545634920635;0,857;2021;NA
"SYN Prop e Tech SA";"Financeiro e Outros/Exploração de Imóveis";69;"Não";39,0569311806238;0,215140993265993;0,514196790193167;0,574017857142857;0,585670634920635;0,577727272727273;0;2021;NA
"TELEFÔNICA BRASIL S.A";"Telecomunicações";4;"Sim";81,71;0,68147095959596;0,900420581330907;0,892261904761905;0,748551587301587;0,82281746031746;0,857;2021;NA
"TIM S.A.";"Telecomunicações";13;"Sim";77,1837846198354;0,653072390572391;0,913134580797624;0,779007936507937;0,787089947089947;0,784722222222222;0,714;2021;NA
"USINAS SID DE MINAS GERAIS S.A.-USimINAS";"Materiais Básicos/Siderurgia e Metalurgia/Siderurgia";50;"Não";61,0832429074651;0,619130360932498;0,742471595498354;0,611982529317999;0,639995994936727;0,622414093762325;0,429;2021;NA
